,city,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
377,Ghanzi,-21.7,21.65,1573351806,74.95,45,84,10.27
378,Calama,-22.46,-68.93,1573351806,62.6,10,0,9.17
379,Lahij,13.06,44.88,1573351806,76.89,68,0,9.86
380,Sao Felix do Xingu,-6.64,-51.99,1573351806,72.46,98,100,1.88
381,Lepe,37.26,-7.2,1573351806,55.99,63,100,8.99
382,Ayagoz,47.96,80.43,1573351806,33.57,70,100,6.4
383,Cairns,-16.92,145.77,1573351623,92.07,26,0,6.93
384,Smithers,54.78,-127.17,1573351807,35.6,74,75,9.17
385,Acajutla,13.59,-89.83,1573351535,84.25,73,100,10.89
386,Cam Ranh,11.92,109.15,1573351807,73.4,100,90,10.29
387,Nioro,13.79,-15.05,1573351807,77.72,23,48,1.9
388,Mehamn,71.03,27.85,1573351807,17.37,90,33,8.37
389,Millau,44.1,3.08,1573351807,41.0,86,75,13.87
390,Pokaran,26.93,71.92,1573351807,71.82,24,18,8.32
391,Miandrivazo,-19.53,45.46,1573351807,79.16,58,4,3.91
392,Sangar,63.92,127.47,1573351807,-3.66,81,100,8.72
393,Haines Junction,60.75,-137.51,1573351807,-2.48,96,0,6.08
394,Milkovo,41.53,24.68,1573351807,54.41,93,12,3.36
395,Haileybury,47.44,-79.64,1573351807,30.2,86,90,6.93
396,Malm,64.07,11.22,1573351807,21.92,85,100,5.82
397,Lakeway,30.36,-97.99,1573351808,56.08,78,1,6.42
398,Souris,46.36,-62.25,1573351808,30.83,63,75,3.36
399,Mersing,2.43,103.84,1573351808,82.22,72,67,2.1
400,Falun,60.61,15.63,1573351808,25.47,85,100,6.93
401,Muli,28.08,109.56,1573351808,67.41,49,61,3.36
402,Kanniyakumari,8.08,77.57,1573351808,81.25,78,92,7.02
